,Date,Stock1,Stock2,Stock3,Stock4,Stock5,Stock6,Stock7,Stock8,Stock9,Stock10,Stock11,Stock12,Stock13,Stock14,Stock15,Stock16,Stock17,Stock18,Stock19,Stock20,Stock21,Stock22,Stock23,Stock24,Stock25,Stock26,Stock27,Stock28,Stock29,Stock30,Stock31,Stock32,Stock33,Stock34,Stock35,Stock36,Stock37,Stock38,Stock39,Stock40,Stock41,Stock42,Stock43,Stock44,Stock45,Stock46,Stock47,Stock48,Stock49,Stock50,Stock51,Stock52,Stock53,Stock54,Stock55,Stock56,Stock57,Stock58,Stock59,Stock60,Returns,Investment
154,2017-11-08,Abengoa SA,Norske Skogindustrier ASA,Eniro AB,Indivior PLC,Genel Energy Plc,Premier Oil PLC,Eramet,Berendsen PLC,Promotora de Informaciones SA,Auto Trader Group PLC,Argenx SE,Imagination Technologies Group PLC,Just Eat PLC,AA PLC,Paysafe Group Ltd,Whitbread PLC,Evraz PLC,Spectris PLC,NEX Group Ltd,IWG PLC,Georg Fischer AG,Rotork PLC,Vestas Wind Systems A/S,Centamin PLC,SIG PLC,Eutelsat Communications SA,Grafton Group PLC.1,Indra Sistemas SA,Julius Baer Group Ltd.1,Julius Baer Group Ltd,Sartorius AG,Aena SME SA,Ferrari NV,Terna Rete Elettrica Nazionale SpA,Jupiter Fund Management PLC,KAZ Minerals PLC,Snam Rete Gas SpA,Ferrovial SA,Electrocomponents PLC,Unicredit SpA,International Consolidated Airlines Grou,Antofagasta PLC,Close Brothers Group PLC,Berkeley Group Holdings PLC,Atresmedia Corp de Medios de Comunicacio,Buzzi Unicem SpA,Banco de Sabadell SA,Enel SpA,Siemens Gamesa Renewable Energy SA,Fiat Chrysler Automobiles NV,Bellway PLC,Atlantia SpA,Unipol Gruppo Finanziario SpA,EXOR NV,Meyer Burger Technology AG,B&M European Value Retail SA,Leonardo SpA,Independent News & Media PLC,WPP PLC,Innogy SE,0.0024325382388523274,68.16
155,2017-11-17,Norske Skogindustrier ASA,Eniro AB,Abengoa SA,Genel Energy Plc,Indivior PLC,Auto Trader Group PLC,Berendsen PLC,Just Eat PLC,Eramet,Imagination Technologies Group PLC,Whitbread PLC,Argenx SE,AA PLC,Paysafe Group Ltd,KAZ Minerals PLC,Spectris PLC,SIG PLC,IWG PLC,Georg Fischer AG,Evraz PLC,Promotora de Informaciones SA,Jupiter Fund Management PLC,Electrocomponents PLC,Centamin PLC,Sartorius AG,NEX Group Ltd,Grafton Group PLC.1,Ferrari NV,Julius Baer Group Ltd,Julius Baer Group Ltd.1,Premier Oil PLC,Berkeley Group Holdings PLC,Rotork PLC,Terna Rete Elettrica Nazionale SpA,Indra Sistemas SA,Eutelsat Communications SA,Bellway PLC,Coloplast A/S,Meyer Burger Technology AG,Close Brothers Group PLC,B&M European Value Retail SA,Independent News & Media PLC,International Consolidated Airlines Grou,Antofagasta PLC,Aena SME SA,Snam Rete Gas SpA,Vestas Wind Systems A/S,Intermediate Capital Group PLC,Atresmedia Corp de Medios de Comunicacio,Buzzi Unicem SpA,Ubisoft Entertainment SA,Bovis Homes Group PLC,SSP Group Plc,Fiat Chrysler Automobiles NV,OC Oerlikon Corp AG.1,OC Oerlikon Corp AG,Innogy SE,AVEVA Group PLC,Domino's Pizza Group PLC,Ferrovial SA,-0.041788080825869295,65.31
156,2017-11-28,Norske Skogindustrier ASA,Abengoa SA,Eniro AB,Berendsen PLC,Cobham PLC,Argenx SE,Indivior PLC,Imagination Technologies Group PLC,Genel Energy Plc,Auto Trader Group PLC,Eramet,Paysafe Group Ltd,Whitbread PLC,Just Eat PLC,Intermediate Capital Group PLC,AA PLC,Julius Baer Group Ltd.1,Julius Baer Group Ltd,Georg Fischer AG,Unicredit SpA,Independent News & Media PLC,Jupiter Fund Management PLC,Terna Rete Elettrica Nazionale SpA,Spectris PLC,NEX Group Ltd,Ubisoft Entertainment SA,Close Brothers Group PLC,Buzzi Unicem SpA,Bellway PLC,Sartorius AG,Coloplast A/S,ConvaTec Group PLC,Snam Rete Gas SpA,CIMPOR Cimentos de Portugal SGPS SA,IWG PLC,SSP Group Plc,AVEVA Group PLC,Evraz PLC,Ferrari NV,Berkeley Group Holdings PLC,Promotora de Informaciones SA,Rotork PLC,WPP PLC,Aena SME SA,International Consolidated Airlines Grou,Eutelsat Communications SA,Atresmedia Corp de Medios de Comunicacio,Premier Foods PLC,Bovis Homes Group PLC,Ferrovial SA,Fiat Chrysler Automobiles NV,Meyer Burger Technology AG,Alpiq Holding AG,Electrocomponents PLC,Vestas Wind Systems A/S,STADA Arzneimittel AG,Red Electrica Corp SA,Domino's Pizza Group PLC,Innogy SE,Enel SpA,-0.024681617512417226,63.7
157,2017-12-07,Abengoa SA,Norske Skogindustrier ASA,Carillion PLC,Eniro AB,Berendsen PLC,Imagination Technologies Group PLC,Cobham PLC,Indivior PLC,Argenx SE,Elior Group SA,Auto Trader Group PLC,Genel Energy Plc,Just Eat PLC,Independent News & Media PLC,Whitbread PLC,Paysafe Group Ltd,Berkeley Group Holdings PLC,Evraz PLC,Eutelsat Communications SA,Intermediate Capital Group PLC,Bellway PLC,Georg Fischer AG,Ubisoft Entertainment SA,NEX Group Ltd,Unicredit SpA,Jupiter Fund Management PLC,Coloplast A/S,Sartorius AG,Terna Rete Elettrica Nazionale SpA,Spectris PLC,Buzzi Unicem SpA,Promotora de Informaciones SA,AA PLC,CIMPOR Cimentos de Portugal SGPS SA,Close Brothers Group PLC,Innogy SE,Julius Baer Group Ltd,Julius Baer Group Ltd.1,AVEVA Group PLC,Melrose Industries PLC,Snam Rete Gas SpA,Eramet,ConvaTec Group PLC,Ferrovial SA,Ferrari NV,Vestas Wind Systems A/S,Banco de Sabadell SA,Aena SME SA,Bovis Homes Group PLC,Premier Foods PLC,Domino's Pizza Group PLC,Air France-KLM,Intertek Group PLC,Aggreko PLC,WPP PLC,International Consolidated Airlines Grou,Rotork PLC,Uniper SE,Antofagasta PLC,KAZ Minerals PLC,0.01350884264988728,64.56
158,2017-12-18,Abengoa SA,Imagination Technologies Group PLC,Berendsen PLC,Carillion PLC,Cobham PLC,Just Eat PLC,Indivior PLC,Independent News & Media PLC,Promotora de Informaciones SA,Argenx SE,Elior Group SA,Eutelsat Communications SA,Evraz PLC,Auto Trader Group PLC,Genel Energy Plc,Melrose Industries PLC,Paysafe Group Ltd,Georg Fischer AG,Whitbread PLC,Raiffeisen Bank International AG,Intermediate Capital Group PLC,Spectris PLC,Buzzi Unicem SpA,Eniro AB,Ubisoft Entertainment SA,Eramet,Coloplast A/S,Jupiter Fund Management PLC,Sartorius AG,Terna Rete Elettrica Nazionale SpA,AVEVA Group PLC,CIMPOR Cimentos de Portugal SGPS SA,KAZ Minerals PLC,Rotork PLC,Unicredit SpA,International Consolidated Airlines Grou,Fiat Chrysler Automobiles NV,Thomas Cook Group PLC,OC Oerlikon Corp AG.1,OC Oerlikon Corp AG,Aena SME SA,Antofagasta PLC,Julius Baer Group Ltd,Julius Baer Group Ltd.1,Cineworld Group PLC,Vestas Wind Systems A/S,WPP PLC,Bellway PLC,Ferrovial SA,Close Brothers Group PLC,1&1 Drillisch AG,Innogy SE,Carnival PLC,NEX Group Ltd,Berkeley Group Holdings PLC,Electrocomponents PLC,Intertek Group PLC,Temenos AG,ConvaTec Group PLC,Snam Rete Gas SpA,0.012190631956715471,65.35
159,2017-12-27,Carillion PLC,Berendsen PLC,Independent News & Media PLC,Just Eat PLC,Cobham PLC,Eutelsat Communications SA,Indivior PLC,Promotora de Informaciones SA,Innogy SE,Elior Group SA,Whitbread PLC,Auto Trader Group PLC,Melrose Industries PLC,Genel Energy Plc,Ubisoft Entertainment SA,Paysafe Group Ltd,RWE AG,Terna Rete Elettrica Nazionale SpA,Georg Fischer AG,Unicredit SpA,Buzzi Unicem SpA,Petropavlovsk PLC,Intermediate Capital Group PLC,Eniro AB,Evraz PLC,Sartorius AG,Ferrovial SA,Spectris PLC,Coloplast A/S,Inmarsat PLC,Raiffeisen Bank International AG,International Consolidated Airlines Grou,AVEVA Group PLC,Aena SME SA,OC Oerlikon Corp AG.1,OC Oerlikon Corp AG,Julius Baer Group Ltd.1,Julius Baer Group Ltd,Jupiter Fund Management PLC,Atresmedia Corp de Medios de Comunicacio,Vestas Wind Systems A/S,AA PLC,Snam Rete Gas SpA,ConvaTec Group PLC,Berkeley Group Holdings PLC,NEX Group Ltd,WPP PLC,Neopost SA,Carnival PLC,Close Brothers Group PLC,Thomas Cook Group PLC,Eramet,Antofagasta PLC,Banco de Sabadell SA,Eiffage SA,Bellway PLC,SIG PLC,Domino's Pizza Group PLC,Electrocomponents PLC,ITV PLC,0.016000879692097087,66.4
160,2018-01-05,Carillion PLC,Independent News & Media PLC,Berendsen PLC,Just Eat PLC,Promotora de Informaciones SA,Cobham PLC,Elior Group SA,Eutelsat Communications SA,Atresmedia Corp de Medios de Comunicacio,Indivior PLC,Innogy SE,Whitbread PLC,Evraz PLC,Terna Rete Elettrica Nazionale SpA,Eramet,Intermediate Capital Group PLC,Auto Trader Group PLC,Ubisoft Entertainment SA,Paysafe Group Ltd,Georg Fischer AG,Buzzi Unicem SpA,RWE AG,Vestas Wind Systems A/S,Melrose Industries PLC,Unicredit SpA,Ferrovial SA,Antofagasta PLC,KAZ Minerals PLC,Spectris PLC,Petropavlovsk PLC,Inmarsat PLC,Aena SME SA,Sartorius AG,International Consolidated Airlines Grou,Julius Baer Group Ltd,Julius Baer Group Ltd.1,Jupiter Fund Management PLC,OC Oerlikon Corp AG.1,OC Oerlikon Corp AG,Banco de Sabadell SA,NH Hotel Group SA,NEX Group Ltd,Enel SpA,Mediaset Espana Comunicacion SA,AVEVA Group PLC,Coloplast A/S,Snam Rete Gas SpA,IWG PLC,Berkeley Group Holdings PLC,WPP PLC,ConvaTec Group PLC,Raiffeisen Bank International AG,Neopost SA,Svenska Cellulosa AB SCA,1&1 Drillisch AG,Intertek Group PLC,Temenos AG,ACS Actividades de Construccion y Servic,ITV PLC,AA PLC,0.019853716530616707,67.72
161,2018-01-16,Carillion PLC,Independent News & Media PLC,Berendsen PLC,Ubisoft Entertainment SA,Elior Group SA,Eutelsat Communications SA,Indivior PLC,Just Eat PLC,AVEVA Group PLC,Promotora de Informaciones SA,Georg Fischer AG,Mediclinic International PLC,Temenos AG,OC Oerlikon Corp AG,OC Oerlikon Corp AG.1,Petropavlovsk PLC,Paysafe Group Ltd,Evraz PLC,Eramet,Buzzi Unicem SpA,Vestas Wind Systems A/S,Intermediate Capital Group PLC,Siltronic AG,Ferrovial SA,Melrose Industries PLC,NEX Group Ltd,ConvaTec Group PLC,Atresmedia Corp de Medios de Comunicacio,Spectris PLC,Genel Energy Plc,NH Hotel Group SA,Reach PLC,CIMPOR Cimentos de Portugal SGPS SA,Auto Trader Group PLC,Marfin Investment Group Holdings SA,Sandvik AB,RWE AG,Neopost SA,IWG PLC,KAZ Minerals PLC,D/S Norden A/S,Terna Rete Elettrica Nazionale SpA,Inmarsat PLC,Mediaset Espana Comunicacion SA,STADA Arzneimittel AG,SES SA,Eiffage SA,Coloplast A/S,Julius Baer Group Ltd.1,Julius Baer Group Ltd,ACS Actividades de Construccion y Servic,Cobham PLC,Aena SME SA,STMicroelectronics NV.1,adidas AG,Aggreko PLC,WPP PLC,IMI PLC,Electrocomponents PLC,Banco de Sabadell SA,0.02129943011564806,69.16
162,2018-01-25,Independent News & Media PLC,Berendsen PLC,Eniro AB,Micro Focus International PLC,Elior Group SA,Just Eat PLC,Ubisoft Entertainment SA,Indivior PLC,Siltronic AG,AVEVA Group PLC,Eutelsat Communications SA,NEX Group Ltd,Intermediate Capital Group PLC,Mediclinic International PLC,Paysafe Group Ltd,Reach PLC,Vestas Wind Systems A/S,OC Oerlikon Corp AG,OC Oerlikon Corp AG.1,Auto Trader Group PLC,Temenos AG,Petropavlovsk PLC,Georg Fischer AG,IWG PLC,ConvaTec Group PLC,Buzzi Unicem SpA,NH Hotel Group SA,Evraz PLC,CIMPOR Cimentos de Portugal SGPS SA,Terna Rete Elettrica Nazionale SpA,Melrose Industries PLC,Cobham PLC,SSP Group Plc,Promotora de Informaciones SA,Ferrovial SA,Spectris PLC,Cineworld Group PLC,Tele2 AB,SES SA,STADA Arzneimittel AG,International Consolidated Airlines Grou,Electrocomponents PLC,Atresmedia Corp de Medios de Comunicacio,Aena SME SA,Bovis Homes Group PLC,Saras SpA,RWE AG,Unicredit SpA,Eramet,STMicroelectronics NV.1,SIG PLC,Genel Energy Plc,Neopost SA,Autogrill SpA,Enagas SA,adidas AG,ACS Actividades de Construccion y Servic,Jupiter Fund Management PLC,Marfin Investment Group Holdings SA,Santander Bank Polska SA,0.005318298149097827,69.53
163,2018-02-05,Independent News & Media PLC,Eniro AB,Berendsen PLC,Micro Focus International PLC,Elior Group SA,Ubisoft Entertainment SA,Evraz PLC,Indivior PLC,Just Eat PLC,Siltronic AG,NEX Group Ltd,Intermediate Capital Group PLC,Reach PLC,Promotora de Informaciones SA,Vestas Wind Systems A/S,AVEVA Group PLC,Cineworld Group PLC,Temenos AG,Buzzi Unicem SpA,Georg Fischer AG,OC Oerlikon Corp AG,OC Oerlikon Corp AG.1,Mediclinic International PLC,Paysafe Group Ltd,Eutelsat Communications SA,Auto Trader Group PLC,Melrose Industries PLC,Eramet,CIMPOR Cimentos de Portugal SGPS SA,Ferrovial SA,NH Hotel Group SA,Terna Rete Elettrica Nazionale SpA,STMicroelectronics NV.1,IWG PLC,Cobham PLC,SSP Group Plc,STADA Arzneimittel AG,Spectris PLC,ConvaTec Group PLC,RWE AG,Meyer Burger Technology AG,Petropavlovsk PLC,Neopost SA,Atresmedia Corp de Medios de Comunicacio,Bovis Homes Group PLC,International Consolidated Airlines Grou,Electrocomponents PLC,Aena SME SA,SIG PLC,Sandvik AB,Genel Energy Plc,Saras SpA,WPP PLC,Jupiter Fund Management PLC,Unicredit SpA,SES SA,IMI PLC,Enel SpA,Aggreko PLC,Enagas SA,-0.03604922649739243,67.02
164,2018-02-14,Independent News & Media PLC,Eniro AB,Elior Group SA,Ubisoft Entertainment SA,Cineworld Group PLC,Micro Focus International PLC,Auto Trader Group PLC,Evraz PLC,Indivior PLC,Just Eat PLC,Promotora de Informaciones SA,Temenos AG,Siltronic AG,Georg Fischer AG,AVEVA Group PLC,ConvaTec Group PLC,Intermediate Capital Group PLC,Petropavlovsk PLC,Getinge AB,NH Hotel Group SA,Tele2 AB,Terna Rete Elettrica Nazionale SpA,CIMPOR Cimentos de Portugal SGPS SA,Genel Energy Plc,NEX Group Ltd,OC Oerlikon Corp AG.1,OC Oerlikon Corp AG,Melrose Industries PLC,Meyer Burger Technology AG,Ferrovial SA,Spectris PLC,Sandvik AB,STADA Arzneimittel AG,Eutelsat Communications SA,Intertek Group PLC,Inmobiliaria Colonial Socimi SA,Vestas Wind Systems A/S,International Personal Finance PLC,Aggreko PLC,Santander Bank Polska SA,Aena SME SA,Reach PLC,Enagas SA,Atresmedia Corp de Medios de Comunicacio,Buzzi Unicem SpA,Daily Mail & General Trust PLC,International Consolidated Airlines Grou,Mediclinic International PLC,Vesuvius PLC,Bovis Homes Group PLC,Saras SpA,STMicroelectronics NV.1,IMI PLC,Close Brothers Group PLC,Eiffage SA,Dechra Pharmaceuticals PLC,Enel SpA,WPP PLC,Paysafe Group Ltd,Air France-KLM,-0.046991911834705254,63.87
165,2018-02-23,Promotora de Informaciones SA,Reach PLC,Siltronic AG,ConvaTec Group PLC,Independent News & Media PLC,Vestas Wind Systems A/S,Elior Group SA,Eniro AB,Neopost SA,BE Semiconductor Industries NV,Sartorius AG,Tele2 AB,Evraz PLC,AVEVA Group PLC,STMicroelectronics NV.1,REC Silicon ASA,Ashtead Group PLC,Mediaset Espana Comunicacion SA,Sandvik AB,AIXTRON SE,adidas AG,OC Oerlikon Corp AG.1,OC Oerlikon Corp AG,Telenet Group Holding NV,Sunrise Communications Group AG,Bovis Homes Group PLC,Siemens Gamesa Renewable Energy SA,Auto Trader Group PLC,Indivior PLC,Dechra Pharmaceuticals PLC,Ubisoft Entertainment SA,Georg Fischer AG,Melrose Industries PLC,Electrocomponents PLC,Kingspan Group PLC,STMicroelectronics NV,Terna Rete Elettrica Nazionale SpA,Spectris PLC,Intermediate Capital Group PLC,Buzzi Unicem SpA,Atresmedia Corp de Medios de Comunicacio,Hexagon AB,Investec PLC,NH Hotel Group SA,Aggreko PLC,IMI PLC,Kudelski SA,Banca Piccolo Credito Valtellinese Scarl,Raiffeisen Bank International AG,Close Brothers Group PLC,Temenos AG,Getinge AB,Outotec OYJ,YIT OYJ,Rotork PLC,Aurubis AG,Eiffage SA,International Personal Finance PLC,International Consolidated Airlines Grou,Smiths Group PLC,0.03451709743991063,66.07
166,2018-03-06,Promotora de Informaciones SA,Banca Piccolo Credito Valtellinese Scarl,Reach PLC,Siltronic AG,Vestas Wind Systems A/S,Independent News & Media PLC,Indivior PLC,AA PLC,Elior Group SA,BE Semiconductor Industries NV,ConvaTec Group PLC,AVEVA Group PLC,Neopost SA,Siemens Gamesa Renewable Energy SA,Ashtead Group PLC,Pharol SGPS SA,Hexagon AB,Tele2 AB,Terna Rete Elettrica Nazionale SpA,adidas AG,Mediaset Espana Comunicacion SA,OC Oerlikon Corp AG.1,OC Oerlikon Corp AG,Kingspan Group PLC,Georg Fischer AG,Melrose Industries PLC,Sartorius AG,Bovis Homes Group PLC,Sandvik AB,Evraz PLC,Telenet Group Holding NV,Aurubis AG,Solarworld AG,Buzzi Unicem SpA,NH Hotel Group SA,Dechra Pharmaceuticals PLC,STMicroelectronics NV.1,TalkTalk Telecom Group PLC,REC Silicon ASA,Electrocomponents PLC,Auto Trader Group PLC,Ubisoft Entertainment SA,Aena SME SA,Atresmedia Corp de Medios de Comunicacio,Sunrise Communications Group AG,YIT OYJ,Intermediate Capital Group PLC,Carl Zeiss Meditec AG,Bellway PLC,Enel SpA,Rotork PLC,Investec PLC,Sopra Steria Group,Admiral Group PLC,Thomas Cook Group PLC,Fraport AG Frankfurt Airport Services Wo,Skanska AB,STMicroelectronics NV,AIXTRON SE,Michelin,-0.02344070256480665,64.52
167,2018-03-15,Promotora de Informaciones SA,Siltronic AG,Reach PLC,Independent News & Media PLC,Indivior PLC,Banca Piccolo Credito Valtellinese Scarl,Elior Group SA,Vestas Wind Systems A/S,Bovis Homes Group PLC,ConvaTec Group PLC,Solarworld AG,TalkTalk Telecom Group PLC,BE Semiconductor Industries NV,Pharol SGPS SA,Auto Trader Group PLC,Neopost SA,D/S Norden A/S,Hexagon AB,adidas AG,Tele2 AB,Siemens Gamesa Renewable Energy SA,Ashtead Group PLC,AA PLC,Terna Rete Elettrica Nazionale SpA,Georg Fischer AG,STMicroelectronics NV.1,Sopra Steria Group,Sunrise Communications Group AG,Melrose Industries PLC,Telenet Group Holding NV,Kingspan Group PLC,OC Oerlikon Corp AG,OC Oerlikon Corp AG.1,Skanska AB,Buzzi Unicem SpA,Ubisoft Entertainment SA,YIT OYJ,Dechra Pharmaceuticals PLC,Mediaset Espana Comunicacion SA,Bellway PLC,RWE AG,Aurubis AG,Sartorius AG,Aena SME SA,NH Hotel Group SA,Thomas Cook Group PLC,Admiral Group PLC,Autoliv Inc,E.ON SE,Jupiter Fund Management PLC,Investec PLC,STMicroelectronics NV,Cobham PLC,OSRAM Licht AG,STADA Arzneimittel AG,National Express Group PLC,Santander Bank Polska SA,Carl Zeiss Meditec AG,Atresmedia Corp de Medios de Comunicacio,Deutsche Boerse AG,0.031750066110237604,66.57
168,2018-03-26,Promotora de Informaciones SA,Independent News & Media PLC,Indivior PLC,Solarworld AG,Vestas Wind Systems A/S,Bovis Homes Group PLC,Siltronic AG,adidas AG,Inmarsat PLC,Reach PLC,D/S Norden A/S,ConvaTec Group PLC,BE Semiconductor Industries NV,Elior Group SA,Neopost SA,Banca Piccolo Credito Valtellinese Scarl,TalkTalk Telecom Group PLC,Siemens Gamesa Renewable Energy SA,Georg Fischer AG,Telenet Group Holding NV,Tele2 AB,Dechra Pharmaceuticals PLC,Ashtead Group PLC,Mediaset Espana Comunicacion SA,Thomas Cook Group PLC,Auto Trader Group PLC,Melrose Industries PLC,Hexagon AB,Pharol SGPS SA,Santander Bank Polska SA,Essity AB,Aurubis AG,Terna Rete Elettrica Nazionale SpA,STADA Arzneimittel AG,Kering SA,E.ON SE,RWE AG,Atresmedia Corp de Medios de Comunicacio,Aena SME SA,SIG PLC,Bellway PLC,Deutsche Boerse AG,Kingspan Group PLC,Rotork PLC,Just Eat PLC,Jupiter Fund Management PLC,YIT OYJ,NH Hotel Group SA,Sunrise Communications Group AG,Aggreko PLC,NEX Group Ltd,Autoliv Inc,Sopra Steria Group,Skanska AB,STMicroelectronics NV.1,Luxottica Group SpA,Inmobiliaria Colonial Socimi SA,Sartorius AG,Eiffage SA,Rockwool International A/S,-0.016688238244357032,65.46
169,2018-04-04,Promotora de Informaciones SA,Micro Focus International PLC,TalkTalk Telecom Group PLC,Independent News & Media PLC,Solarworld AG,Bovis Homes Group PLC,Vestas Wind Systems A/S,Banca Piccolo Credito Valtellinese Scarl,adidas AG,Inmarsat PLC,Mediaset Espana Comunicacion SA,Bellway PLC,Elior Group SA,Indivior PLC,Reach PLC,ConvaTec Group PLC,D/S Norden A/S,Neopost SA,SIG PLC,BE Semiconductor Industries NV,YIT OYJ,Siemens Gamesa Renewable Energy SA,Debenhams PLC,Ashtead Group PLC,Thomas Cook Group PLC,Taylor Wimpey PLC,Georg Fischer AG,Auto Trader Group PLC,Nexans SA,Pharol SGPS SA,Tele2 AB,Dechra Pharmaceuticals PLC,Umicore SA,Aurubis AG,Enel SpA,Atresmedia Corp de Medios de Comunicacio,Kingspan Group PLC,Aggreko PLC,NH Hotel Group SA,Telenet Group Holding NV,Melrose Industries PLC,Investec PLC,Kering SA,Jupiter Fund Management PLC,Terna Rete Elettrica Nazionale SpA,Berkeley Group Holdings PLC,Siltronic AG,Howden Joinery Group PLC,Sopra Steria Group,Hexagon AB,Essity AB,Eniro AB,Deutsche Boerse AG,Grafton Group PLC.1,Hera SpA,Centamin PLC,Deutsche EuroShop AG,STADA Arzneimittel AG,Freenet AG,Admiral Group PLC,-0.0018014941020476848,65.34
170,2018-04-13,Vestas Wind Systems A/S,Mediaset Espana Comunicacion SA,TalkTalk Telecom Group PLC,Promotora de Informaciones SA,adidas AG,Solarworld AG,Micro Focus International PLC,Bovis Homes Group PLC,Indivior PLC,Elior Group SA,YIT OYJ,BE Semiconductor Industries NV,Independent News & Media PLC,D/S Norden A/S,Inmarsat PLC,Ashtead Group PLC,Eniro AB,Banca Piccolo Credito Valtellinese Scarl,Bellway PLC,Reach PLC,ConvaTec Group PLC,Siltronic AG,Dechra Pharmaceuticals PLC,Aurubis AG,Umicore SA,Howden Joinery Group PLC,Autoliv Inc,SIG PLC,Evraz PLC,Deutsche Boerse AG,Sopra Steria Group,Carl Zeiss Meditec AG,AIXTRON SE,Siemens Gamesa Renewable Energy SA,Pharol SGPS SA,Atresmedia Corp de Medios de Comunicacio,Grafton Group PLC.1,Debenhams PLC,Auto Trader Group PLC,Neste Oyj,Nexans SA,Taylor Wimpey PLC,Temenos AG,Centamin PLC,Investec PLC,GRENKE AG,Jupiter Fund Management PLC,Neopost SA,Sartorius AG,ISS A/S,Aggreko PLC,STADA Arzneimittel AG,Hexagon AB,Admiral Group PLC,Moncler SpA,Buzzi Unicem SpA,Kering SA,Rotork PLC,1&1 Drillisch AG,Essity AB,0.01936658588584483,66.61
171,2018-04-24,Solarworld AG,Mediaset Espana Comunicacion SA,adidas AG,Siltronic AG,Vestas Wind Systems A/S,D/S Norden A/S,Micro Focus International PLC,Neopost SA,Indivior PLC,YIT OYJ,BE Semiconductor Industries NV,Bovis Homes Group PLC,Neste Oyj,TalkTalk Telecom Group PLC,Pharol SGPS SA,Independent News & Media PLC,Aurubis AG,Promotora de Informaciones SA,Ashtead Group PLC,AIXTRON SE,Autoliv Inc,Sartorius AG,Debenhams PLC,Carl Zeiss Meditec AG,ConvaTec Group PLC,Elior Group SA,GRENKE AG,Bellway PLC,Umicore SA,Flughafen Zurich AG,Deutsche Boerse AG,Howden Joinery Group PLC,Nexans SA,BioMerieux,Dechra Pharmaceuticals PLC,Jupiter Fund Management PLC,Grafton Group PLC.1,Schibsted ASA,Inmobiliaria Colonial Socimi SA,NH Hotel Group SA,Atresmedia Corp de Medios de Comunicacio,Essity AB,Aggreko PLC,Infineon Technologies AG,Buzzi Unicem SpA,STMicroelectronics NV.1,Thomas Cook Group PLC,Galapagos NV,Investec PLC,Vonovia SE,1&1 Drillisch AG,Hexagon AB,Eniro AB,IWG PLC,Swisscom AG.1,Swisscom AG,Sulzer AG.1,Sulzer AG,Luxottica Group SpA,Erste Group Bank AG,0.01888092469826335,67.87
172,2018-05-03,Solarworld AG,Mediaset Espana Comunicacion SA,Siltronic AG,adidas AG,YIT OYJ,BE Semiconductor Industries NV,Vestas Wind Systems A/S,D/S Norden A/S,TalkTalk Telecom Group PLC,Neopost SA,Micro Focus International PLC,AIXTRON SE,Indivior PLC,Neste Oyj,Bovis Homes Group PLC,Pharol SGPS SA,Ashtead Group PLC,Aurubis AG,Jupiter Fund Management PLC,Independent News & Media PLC,STMicroelectronics NV.1,Debenhams PLC,Autoliv Inc,ConvaTec Group PLC,Sunrise Communications Group AG,Infineon Technologies AG,Dechra Pharmaceuticals PLC,Umicore SA,Evraz PLC,STMicroelectronics NV,GRENKE AG,Sartorius AG,NH Hotel Group SA,Bellway PLC,Flughafen Zurich AG,Inmobiliaria Colonial Socimi SA,Grafton Group PLC.1,Schibsted ASA,Genmab A/S,Elior Group SA,Intermediate Capital Group PLC,Deutsche Boerse AG,BioMerieux,Howden Joinery Group PLC,ASML Holding NV,Aggreko PLC,Rheinmetall AG,Essity AB,Atresmedia Corp de Medios de Comunicacio,Telenet Group Holding NV,Kering SA,Hexagon AB,Sulzer AG,Sulzer AG.1,Carl Zeiss Meditec AG,Investec PLC,Promotora de Informaciones SA,Nexans SA,IWG PLC,Elisa OYJ,0.006660283540153606,68.32
173,2018-05-14,Mediaset Espana Comunicacion SA,Siltronic AG,AIXTRON SE,adidas AG,TalkTalk Telecom Group PLC,Indivior PLC,Neste Oyj,D/S Norden A/S,Aurubis AG,Autoliv Inc,Micro Focus International PLC,Neopost SA,Umicore SA,Debenhams PLC,Ashtead Group PLC,Vestas Wind Systems A/S,Evraz PLC,Dechra Pharmaceuticals PLC,STMicroelectronics NV.1,Bovis Homes Group PLC,Pharol SGPS SA,Independent News & Media PLC,Promotora de Informaciones SA,Jupiter Fund Management PLC,Sunrise Communications Group AG,STMicroelectronics NV,YIT OYJ,Infineon Technologies AG,ConvaTec Group PLC,GRENKE AG,Sartorius AG,Linde AG.1,Genmab A/S,Rockwool International A/S,Grafton Group PLC.1,Elior Group SA,Rheinmetall AG,ASML Holding NV,Howden Joinery Group PLC,BE Semiconductor Industries NV,Hexagon AB,NH Hotel Group SA,KION Group AG,Deutsche Boerse AG,Flughafen Zurich AG,Nexans SA,Intermediate Capital Group PLC,Aggreko PLC,Sulzer AG.1,Sulzer AG,Inmobiliaria Colonial Socimi SA,Powszechna Kasa Oszczednosci Bank Polski,Delivery Hero SE,Investec PLC,IWG PLC,Luxottica Group SpA,Elisa OYJ,Bellway PLC,Telenet Group Holding NV,Erste Group Bank AG,0.013881062528955672,69.27
